Surge,Sway,Heave,Roll,Pitch,Yaw
-0.077683838,1.2782459122060843,0.3154066244206078,1.0154714207642173,0.6628814933179052,-0.306028225
-0.12193619,1.2778081193942796,0.5621681505575552,0.8923047224721207,0.746365001,-0.363279847
-0.179824483,1.2798092448026328,0.7570211813901133,0.7145787413687881,0.7651022555426027,-0.444017874
-0.248449332,1.2864709964420054,0.9169024985760552,0.549771651,0.7233035081197149,-0.517743643
-0.32662311,1.2904916081416185,1.0214676461262602,0.4548847998228165,0.6743982447470674,-0.571259629
-0.40498967,1.2859814618428869,1.0472524876646705,0.48426366907257706,0.6650425968277337,-0.605682688
-0.483872714,1.2787770879244365,1.0141601614461218,0.6493481352733015,0.7213292228448767,-0.633475853
-0.561169031,1.2716836797486049,0.8995586782435894,0.9274121231399632,0.8757784800311049,-0.68104501
-0.629009747,1.2689107696737858,0.6746168233321543,1.263558207314796,1.0965386532929555,-0.755230494
-0.687970164,1.2740682444711646,0.3592759436196372,1.5734669957417893,1.311203854633796,-0.851274802
-0.723465293,1.2795778760901362,-0.03542601,1.7827935948565992,1.4647667928075134,-0.972808306
-0.728901651,1.2857721428473383,-0.49913114,1.8298853024891348,1.4903850788228912,-1.099600911
-0.70971301,1.2936022712792132,-0.993364086,1.667983153,1.3510647959683686,-1.197426717
-0.65476608,1.2938686550024556,-1.438727575,1.2837055528597208,1.0592852442904892,-1.250162652
-0.571554665,1.289784819853342,-1.74670089,0.7108735848728689,0.6454807887000086,-1.257690361
-0.479378259,1.2835197234947773,-1.890045806,0.037389585248714455,0.174032812,-1.241979167
-0.382459306,1.2736410614561975,-1.843618981,-0.641469308,-0.303840551,-1.220457759
-0.299541116,1.270586800304219,-1.572255407,-1.24416993,-0.756034839,-1.182359483
-0.246686161,1.2722900865385165,-1.119070818,-1.681101825,-1.107527899,-1.131834236
-0.228622325,1.2701225034537242,-0.550023746,-1.886389656,-1.292771231,-1.09437668
-0.258227828,1.2687784650337535,0.079742625,-1.828773244,-1.288425292,-1.075919112
-0.329265366,1.2677828284104846,0.695409417,-1.512956958,-1.099031887,-1.063144395
-0.425904519,1.2649237376865665,1.243660013354321,-1.010373862,-0.774201366,-1.047285523
-0.54061414,1.2614489236545225,1.6672111008023642,-0.41687633,-0.361218165,-1.041429036
-0.654658668,1.2551379400977662,1.9150635175226898,0.17729774984244578,0.07865938,-1.057368097
-0.751300596,1.2515944431030104,1.9818477486693604,0.672568783,0.43959841222340434,-1.086093094
-0.821458193,1.2532846702887828,1.8402881794637491,1.0033610472682588,0.6625966359098527,-1.126422943
-0.857390351,1.2545503465257084,1.493290852,1.132136297175679,0.7075719384177186,-1.172002047
-0.858086657,1.2544573410470892,1.0199322444375254,1.037485377433692,0.52984563,-1.199018503
-0.825688605,1.247691241306516,0.48224808178036715,0.7673764304445235,0.19951033245228253,-1.210297838
-0.77119436,1.2332384781674428,-0.038723689,0.40225604371527046,-0.16722873,-1.206479229
-0.703369207,1.2194820027616242,-0.453044089,0.007745352,-0.503230212,-1.169948105
-0.629345536,1.2055318100945547,-0.753253611,-0.342191863,-0.733963812,-1.113871652
-0.565477169,1.1881032354037444,-0.935870065,-0.590033269,-0.831308657,-1.059571485
-0.514618191,1.1662432590356904,-0.998190173,-0.696423259,-0.827343792,-1.013597674
-0.477674197,1.1400634396238152,-0.976910963,-0.626457321,-0.726940656,-0.984346092
-0.462294357,1.1171351997623489,-0.872742466,-0.397252852,-0.55008937,-0.958245196
-0.458194082,1.0978963229628265,-0.701333605,-0.06495232,-0.339505878,-0.924014422
-0.459607332,1.0798906136271447,-0.511256561,0.31160358272648614,-0.106359281,-0.894391399
-0.468741466,1.0722058856855254,-0.304116153,0.6554202597594888,0.11834507028503953,-0.859991119
-0.477085531,1.0769648152241071,-0.104639975,0.9006287634610016,0.28871356093210343,-0.817061017
-0.488250532,1.0869823798243998,0.038861435,1.0246450031334533,0.3933228671262023,-0.796010694
-0.501608395,1.0995957914848957,0.14110842615837288,1.0247791371073667,0.4148131600679901,-0.796479711
-0.510586863,1.1135735782699219,0.2203175369849972,0.9233914250289946,0.3344717151290922,-0.792356704
-0.52598469,1.1245363624250468,0.2689760998385503,0.7879923981906516,0.19457655092808318,-0.779530402
-0.545013818,1.1269786967502233,0.29728041126736043,0.6895809469010439,0.074319789,-0.750513278
-0.560882882,1.1218261999682217,0.32365363133844655,0.654268933,0.017863804,-0.690915384
-0.580133849,1.1147248558993705,0.3431241172099662,0.7011224,0.04448287,-0.617838426
-0.60106338,1.105763238361836,0.31042854716021057,0.8632158957733834,0.17731731875601758,-0.561757854
-0.624231587,1.0947087404951232,0.19593017101856447,1.110728611130312,0.38902351316429423,-0.535894845
-0.640935941,1.082979100601095,0.010677231902247246,1.3638966374467951,0.6048160059083226,-0.545083939
-0.635155321,1.071872526859896,-0.250219733,1.5676907073060864,0.772048809,-0.583842274
-0.605724028,1.0636341064951125,-0.567028741,1.651731941911419,0.8356465195517528,-0.628149584
-0.544893797,1.0547211889861214,-0.875475774,1.5475689907016894,0.7416580160435658,-0.654069767
-0.455967871,1.0466605111506069,-1.129464408,1.2555601600310935,0.4915868509332828,-0.642357471
-0.356734397,1.0453668509682992,-1.260902494,0.7831351479622569,0.1030693623047313,-0.577973673
-0.25071138,1.0444177304396394,-1.198572065,0.14829742628611117,-0.385715046,-0.475012704
-0.157065146,1.0439932610872353,-0.946216739,-0.546130248,-0.873951062,-0.36052445
-0.102150399,1.050914437091839,-0.524052811,-1.169578122,-1.257161564,-0.239864342
-0.089976837,1.057189952665073,0.026203218,-1.602750829,-1.450916557,-0.125561483
-0.128858852,1.0570483199592045,0.6023761399133543,-1.727231693,-1.400526676,-0.044678525
-0.209058804,1.0527494980671088,1.1191363468051836,-1.496366657,-1.132472252,0.002176648
-0.311149405,1.0426535728833577,1.5105426608884156,-0.959073078,-0.712178981,0.030914018834111143
-0.432694504,1.0280680743391728,1.7159661435506708,-0.228646972,-0.220788592,0.039657284
-0.549046262,1.0123763311309004,1.713562604996825,0.5262326650966797,0.2211885507563616,0.019851240315728037
-0.63534162,0.9972904688279641,1.4817090472773173,1.142236434683722,0.5318676680539007,-0.02270554
-0.685739819,0.9860691697325181,1.0199722226937724,1.501847679900079,0.6812055128955041,-0.064866345
-0.684687157,0.9773928121105369,0.3983790819361426,1.5155253629841277,0.6161061902763622,-0.083131684
-0.630821815,0.9659668228496865,-0.296620097,1.1513384513011529,0.2933663948486773,-0.064443217
-0.538116255,0.9491871377200437,-0.956018901,0.4624384862857257,-0.265917917,0.000548801
-0.41914849,0.927570512,-1.427746641,-0.434524205,-0.958172944,0.103534885
-0.300247646,0.8998193903078244,-1.605919126,-1.385397872,-1.611852717,0.20612589334568063
-0.195816883,0.8632706097546251,-1.483647539,-2.238815832,-2.100099019,0.2904111660959428
-0.118643182,0.8234536473823076,-1.123765939,-2.87025957,-2.399361104,0.3738948800426426
-0.090110888,0.7827866069108589,-0.586500109,-3.177368576,-2.5254311,0.46166382368263537
-0.108329782,0.7365871577678439,0.089307433,-3.104803061,-2.491892145,0.5568987243668325
-0.173130688,0.690580897,0.8243258891126479,-2.672550871,-2.27816647,0.6741255319678259
-0.281029421,0.6466372520749775,1.5309748569584825,-1.975053332,-1.848881922,0.7965908660324581
-0.410995774,0.6010755670187629,2.144465578862289,-1.138976628,-1.233868757,0.8905313254332085
-0.557243843,0.5635519987001013,2.5618121604128663,-0.274516163,-0.515030722,0.9378768140343939
-0.705197157,0.5382387236858097,2.7068686350414413,0.5120775860145621,0.20129946259028422,0.9206993070188355
-0.829070646,0.5234045986107704,2.5816865386687318,1.1156543123225555,0.7685343008143994,0.8411197524883425
-0.921899609,0.521477897,2.185928677799689,1.4736077866064452,1.0756615237762266,0.7334760404345743
