Surge,Sway,Heave,Roll,Pitch,Yaw
0.00045958,-0.003773103,-0.000129073,0.001858179,-0.001591361,-0.000544197
0.000904955,0.009226531,0.001015051,0.004409472,-0.004371653,0.002379091
0.000615052,-0.005968585,0.002474352,0.000822239,-0.003259057,-0.000206489
0.001043149,-0.009516743,-3.88923E-05,-0.000879777,0.005156618,0.000507869
0.000915342,-0.008996012,0.003229632,-0.001953903,0.004032753,-0.001408583
-0.002812422,0.003730986,0.002579363,0.003410651,-0.002067279,0.001161065
0.001433575,0.008114469,0.002230723,-0.002651975,0.002460615,0.000282459
-0.000439824,-0.006494001,-0.00623733,-0.003238761,-0.005738978,-0.004352793
-0.001298179,0.001262616,-0.00123157,-0.007757658,-0.006455488,-0.000535314
0.004476956,-0.005808162,0.001652323,0.00548713,-0.006087061,0.00591191
-0.003097675,0.005617201,-0.000138794,-0.008505917,-0.009370489,0.000764653
-7.3135E-05,-0.002461538,0.00071679,-0.009808439,0.010102841,-0.001416407
-0.000347201,-0.001322476,-0.00693181,-0.00219344,0.00538409,-0.006448074
0.004711792,0.008770337,0.004301828,-0.007866248,0.006268377,0.001084674
0.002180833,0.009354439,0.000979359,0.003101344,0.001563651,-0.005510776
-0.001044986,0.002530908,0.008111178,3.02097E-05,0.000185128,-0.003912225
-0.002595466,0.006954837,-0.009991678,-0.003872776,-0.000724404,-0.007931205
0.000945712,0.007939769,0.002892955,-0.008364575,-0.001846719,0.006697697
-0.001599052,-0.0005488,-0.000193212,-0.010118672,-0.007201663,0.008241073
-0.001312103,-0.003322519,-0.00036013,0.004596259,0.005333061,-0.004098184
0.001106597,-0.004349274,-0.000260693,0.00187892,-0.001721016,-0.000567772
-0.000279779,0.008368142,-0.002351388,0.005843646,0.001581042,-0.001029334
-0.00318437,-0.002278431,0.001684322,5.80121E-05,-0.003986731,-0.005598168
-0.000704942,0.004226819,-0.008618341,-0.000287074,-0.002286389,-0.000288494
-0.003202992,-0.004908232,0.007272343,-0.001087956,-8.11743E-05,-0.004664203
-0.001616693,-0.005428644,-0.010662648,0.000902865,-0.000893086,-0.002516254
0.00484665,-0.001395622,-0.010899124,0.00442187,0.003729995,0.001972197
0.004326234,0.006867921,-0.002814377,0.005464559,0.001293128,-0.004365611
0.000535744,-0.002196359,0.000265301,0.002015264,0.001614636,-0.003858271
0.000381964,0.007746064,0.001606576,0.005462937,-0.001283861,0.001626996
-0.000712717,-0.007643193,-0.000103793,-0.001005509,0.000720272,-0.002729906
-0.003255352,0.001879674,-0.002708578,-1.77897E-05,0.003681032,-0.00740203
-0.00436384,0.005353677,-0.005086206,0.001847117,-0.003585853,-0.005878161
0.003478119,0.00815411,-0.00245396,-0.000313799,-0.002593604,0.003692696
0.001387401,-0.000977063,-0.001598943,-0.004294321,-0.004095624,-0.004986844
0.002117739,0.003593313,-0.003816065,-0.004507499,0.003851486,-0.00616224
0.002408921,0.00405451,-0.005560156,0.001401395,-0.000359322,0.005895685
0.001368234,-0.005506894,-0.004836779,-0.000398686,0.000419666,0.005949833
-0.001562742,-0.001198755,-0.002523826,0.001427841,-0.000251746,-0.00111395
-0.000372964,-0.000947429,3.36595E-05,0.002626837,0.000659496,-0.000315134
