t,truth_x,truth_y,truth_z,truth_roll,truth_pitch,truth_yaw,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_roll,ekf_pitch,ekf_yaw,esekf_x,esekf_y,esekf_z,esekf_vx,esekf_vy,esekf_vz,esekf_roll,esekf_pitch,esekf_yaw,inekf_x,inekf_y,inekf_z,inekf_vx,inekf_vy,inekf_vz,inekf_roll,inekf_pitch,inekf_yaw
1.400000,0.103247,0.793804,0.554621,0.592637,0.147260,0.944481,0.441373,0.671859,0.622829,0.611020,0.564399,-0.224797,0.455451,-0.145799,-0.482307,0.442417,0.655959,0.654880,0.466413,0.701926,-0.292016,0.479950,-0.145880,-0.470734,0.497359,0.617667,0.630634,0.438210,0.701360,-0.327296,0.424513,0.053192,-0.565496
1.500000,0.057608,0.864471,0.535494,0.662289,0.172805,0.980628,0.511137,0.712054,0.608288,0.796730,0.489245,-0.334858,0.267673,-0.456270,-0.503740,0.501886,0.698585,0.638511,0.620886,0.682410,-0.383386,0.287078,-0.467973,-0.489454,0.560945,0.651544,0.590513,0.573407,0.644467,-0.469885,0.222014,-0.239394,-0.681217
1.600000,-0.000348,0.943488,0.504685,0.718468,0.170795,1.011052,0.591518,0.731547,0.608848,0.949785,0.293686,-0.298601,-0.025751,-0.791382,-0.471021,0.557229,0.727196,0.625043,0.738740,0.582514,-0.358259,-0.035953,-0.834616,-0.443099,0.625635,0.658957,0.545655,0.674863,0.485891,-0.505951,-0.131324,-0.579144,-0.659989
1.700000,-0.065356,1.028966,0.471967,0.744954,0.135049,1.041460,0.676027,0.733031,0.635030,0.983275,0.089525,-0.099751,-0.363360,-1.081114,-0.397736,0.608931,0.733715,0.636917,0.733424,0.493919,-0.209571,-0.444040,-1.143029,-0.316652,0.685501,0.641986,0.515422,0.698554,0.336778,-0.409032,-0.689081,-0.828123,-0.413883
1.800000,-0.129405,1.117652,0.444716,0.731222,0.066413,1.074667,0.756072,0.727442,0.676646,0.880368,-0.007217,0.138502,-0.692912,-1.297952,-0.313954,0.664919,0.719746,0.674793,0.615369,0.495874,-0.026996,-0.854364,-1.339365,-0.161178,0.741512,0.616970,0.503632,0.669987,0.316404,-0.264608,-1.354725,-0.884473,-0.032646
1.900000,-0.185492,1.204161,0.430827,0.675111,-0.029213,1.113931,0.830462,0.721538,0.723240,0.743991,0.035227,0.312895,-0.947121,-1.438061,-0.266463,0.727752,0.703838,0.714494,0.488615,0.592245,0.105567,-1.187779,-1.433566,-0.030258,0.802749,0.597840,0.502037,0.657183,0.420849,-0.197843,-1.832056,-0.831380,0.220106
2.000000,-0.230018,1.283106,0.437867,0.582366,-0.144271,1.159117,0.900486,0.723897,0.768889,0.652408,0.187518,0.390416,-1.076716,-1.482966,-0.284153,0.796344,0.706950,0.736661,0.415901,0.751759,0.150546,-1.450425,-1.435190,0.090753,0.872841,0.593263,0.503748,0.666011,0.580543,-0.238152,-2.037362,-0.821906,0.304693
2.100000,-0.265119,1.349447,0.471009,0.467309,-0.268441,1.205182,0.967996,0.745350,0.810092,0.621015,0.409587,0.390766,-1.066186,-1.434960,-0.364606,0.864994,0.744157,0.736835,0.407588,0.939062,0.111965,-1.617034,-1.371928,0.187264,0.949359,0.612587,0.509339,0.683662,0.762910,-0.305460,-1.998403,-0.909235,0.274937
2.200000,-0.296769,1.396924,0.532518,0.346178,-0.390923,1.245659,1.030200,0.796218,0.848332,0.592123,0.660408,0.370718,-0.913135,-1.316306,-0.457665,0.923895,0.815984,0.738263,0.415692,1.118176,0.045889,-1.577646,-1.268484,0.208741,1.023712,0.664873,0.532461,0.682455,0.960224,-0.301832,-1.658733,-1.023921,0.072536
2.300000,-0.331953,1.421504,0.617944,0.234167,-0.503642,1.276055,1.076643,0.878806,0.888787,0.470505,0.901501,0.393634,-0.652836,-1.174912,-0.513441,0.961345,0.913971,0.756296,0.351641,1.277133,0.015850,-1.320547,-1.133913,0.160098,1.075587,0.751468,0.580935,0.613210,1.158464,-0.194932,-1.070700,-1.031342,-0.271663
2.400000,-0.376499,1.422114,0.718431,0.144639,-0.602834,1.298190,1.100268,0.980175,0.936348,0.234697,1.040645,0.508030,-0.357178,-1.041856,-0.526909,0.978349,1.023396,0.783954,0.212270,1.367574,0.066550,-0.966556,-0.950379,0.084888,1.088804,0.860145,0.657466,0.463292,1.284196,0.004261,-0.548592,-0.907774,-0.485407
2.500000,-0.432258,1.400262,0.826048,0.084608,-0.688960,1.316846,1.115227,1.070859,0.987828,0.018505,0.985325,0.646579,-0.093203,-0.902270,-0.509808,1.008729,1.117478,0.814426,0.130292,1.330857,0.149705,-0.650150,-0.716434,0.031354,1.071591,0.962571,0.752841,0.309980,1.261368,0.191375,-0.197113,-0.721686,-0.516529
2.600000,-0.496894,1.363250,0.930765,0.056663,-0.761623,1.336018,1.123137,1.146375,1.047452,-0.079882,0.833953,0.721988,0.085132,-0.773896,-0.477724,1.090201,1.182980,0.858417,0.179424,1.204996,0.184087,-0.444574,-0.510765,-0.021966,1.051741,1.043777,0.851584,0.239537,1.145568,0.275559,0.002236,-0.556057,-0.464661
2.700000,-0.566097,1.321039,1.022872,0.057010,-0.820051,1.360055,1.115934,1.218940,1.120254,-0.037616,0.715557,0.684801,0.142610,-0.692662,-0.467925,1.192526,1.239767,0.920700,0.294862,1.049055,0.111787,-0.380766,-0.390211,-0.097236,1.049061,1.109894,0.945566,0.274362,1.022001,0.228315,0.069597,-0.451966,-0.439860
2.800000,-0.634691,1.283361,1.097789,0.072461,-0.867656,1.388292,1.115045,1.288425,1.186444,0.141563,0.653048,0.497090,0.051432,-0.676611,-0.495311,1.278663,1.301829,0.962938,0.405371,0.876044,-0.091716,-0.476980,-0.357549,-0.176705,1.073958,1.172237,1.013823,0.384044,0.916809,0.046953,-0.009088,-0.422967,-0.470037
2.900000,-0.699583,1.262470,1.150542,0.087525,-0.909369,1.415253,1.150412,1.342702,1.217147,0.401473,0.529376,0.188184,-0.218320,-0.759367,-0.550458,1.353291,1.354805,0.917451,0.484310,0.638114,-0.369514,-0.770591,-0.421088,-0.235267,1.127454,1.229142,1.017947,0.516381,0.769315,-0.215427,-0.268865,-0.513191,-0.516292
