t,truth_x,truth_y,truth_z,truth_roll,truth_pitch,truth_yaw,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_roll,ekf_pitch,ekf_yaw,esekf_x,esekf_y,esekf_z,esekf_vx,esekf_vy,esekf_vz,esekf_roll,esekf_pitch,esekf_yaw,inekf_x,inekf_y,inekf_z,inekf_vx,inekf_vy,inekf_vz,inekf_roll,inekf_pitch,inekf_yaw
1.300000,-0.442405,-0.736782,-0.650092,-1.421081,-0.478456,-0.723117,-0.101778,-0.599782,-0.774788,-0.648354,1.113514,-0.344322,-1.474783,-2.288155,0.021242,-0.550099,-0.818849,0.226407,-0.371816,1.004144,-0.870753,2.208304,-0.070025,2.653301,-0.933476,-0.081427,-0.973776,-0.057494,-0.182929,-1.269974,-2.983141,-0.896603,2.353809
1.400000,-0.385385,-0.648226,-0.546515,-1.569229,-0.579849,-0.778064,-0.187182,-0.502676,-0.770888,-0.797998,0.925764,-0.039456,-1.253008,-1.586093,-0.029141,-0.471955,-0.830458,0.151705,-0.124028,0.674401,-0.984645,2.285365,0.507402,2.407544,-0.950686,-0.127396,-0.974555,-0.119136,-0.288128,-0.917898,-1.177942,-1.415014,0.810819
1.500000,-0.321158,-0.548476,-0.464797,-1.679179,-0.606492,-0.835063,-0.251122,-0.429864,-0.732728,-0.774609,0.565162,0.299616,-1.023115,-1.074951,-0.083481,-0.369250,-0.884027,0.068175,-0.061822,0.334053,-0.826070,2.242866,0.857469,2.006396,-0.916635,-0.210624,-0.954053,0.025634,-0.491017,-0.659737,-0.013051,-0.976381,-0.106003
1.600000,-0.261911,-0.458293,-0.397495,-1.760616,-0.562531,-0.895084,-0.316693,-0.400728,-0.681409,-0.702088,0.105061,0.443524,-0.739700,-0.888172,-0.134587,-0.324155,-0.940897,-0.008751,-0.244324,0.160026,-0.636903,2.370633,0.881291,1.765724,-0.886297,-0.316642,-0.946181,0.188684,-0.634208,-0.645657,0.307499,-0.789785,-0.125677
1.700000,-0.218118,-0.386041,-0.334205,-1.810898,-0.477751,-0.959276,-0.381086,-0.416681,-0.638484,-0.590963,-0.321381,0.330532,-0.487524,-1.006174,-0.149467,-0.335585,-0.969916,-0.068937,-0.491619,0.142459,-0.473707,2.580011,0.643757,1.686223,-0.852211,-0.410513,-0.969700,0.354432,-0.633388,-0.743214,0.656074,-0.905423,-0.226088
1.800000,-0.194412,-0.333014,-0.266534,-1.829737,-0.392396,-1.025196,-0.424142,-0.467093,-0.617850,-0.374133,-0.639421,0.133982,-0.288420,-1.296287,-0.137821,-0.393503,-0.975118,-0.100699,-0.710783,0.148715,-0.285512,2.752051,0.299708,1.689807,-0.789367,-0.473892,-1.013718,0.563758,-0.533449,-0.792111,1.254519,-1.105987,-0.667861
1.900000,-0.191759,-0.296733,-0.189153,-1.825642,-0.331444,-1.089725,-0.439804,-0.539022,-0.610153,-0.085991,-0.833309,0.042524,-0.140252,-1.647702,-0.121266,-0.488600,-0.984703,-0.105454,-0.877811,0.076399,-0.100435,2.831330,-0.053028,1.726309,-0.691854,-0.510604,-1.052571,0.779462,-0.414419,-0.720922,2.175696,-1.083861,-1.501247
2.000000,-0.208991,-0.272577,-0.101475,-1.802082,-0.303411,-1.150698,-0.436138,-0.625432,-0.599744,0.110424,-0.936969,0.081021,-0.111405,-1.977966,-0.106031,-0.599403,-1.007620,-0.104167,-0.978194,-0.038559,-0.010915,2.789845,-0.372481,1.742696,-0.579093,-0.547928,-1.073167,0.916890,-0.365502,-0.580760,2.602916,-0.837754,-1.956298
2.100000,-0.242274,-0.254176,-0.007019,-1.766006,-0.311828,-1.207750,-0.425330,-0.724503,-0.587981,0.115569,-1.014428,0.088786,-0.225089,-2.180044,-0.102603,-0.710905,-1.027027,-0.108857,-1.025491,-0.093142,-0.062351,2.648836,-0.571396,1.733827,-0.471722,-0.604260,-1.089010,0.945302,-0.414129,-0.514524,2.602444,-0.655369,-2.108413
2.200000,-0.283577,-0.232940,0.090057,-1.733981,-0.350648,-1.263890,-0.422437,-0.830359,-0.586898,-0.041377,-1.039459,-0.053245,-0.406856,-2.168851,-0.103652,-0.813229,-1.033506,-0.128188,-1.002263,-0.034891,-0.237060,2.465998,-0.560211,1.718581,-0.382387,-0.675160,-1.122633,0.859525,-0.487593,-0.602469,2.408885,-0.661710,-2.093039
2.300000,-0.318949,-0.199963,0.185982,-1.719575,-0.400154,-1.320697,-0.442700,-0.930124,-0.602029,-0.314029,-0.939426,-0.242467,-0.576530,-1.947054,-0.107390,-0.895088,-1.035546,-0.173017,-0.882150,0.044791,-0.480256,2.302640,-0.339706,1.695036,-0.327229,-0.746071,-1.184099,0.657883,-0.527310,-0.775481,2.059571,-0.793677,-1.840373
2.400000,-0.334116,-0.150934,0.277944,-1.724797,-0.436485,-1.377950,-0.486326,-1.015308,-0.623471,-0.647941,-0.744933,-0.288508,-0.711518,-1.597452,-0.116900,-0.949185,-1.058295,-0.235996,-0.701990,0.014597,-0.718106,2.179796,0.000167,1.665017,-0.313842,-0.817795,-1.263064,0.367198,-0.565685,-0.917032,1.496635,-0.848235,-1.300047
2.500000,-0.321871,-0.087359,0.365294,-1.746423,-0.441454,-1.437264,-0.540598,-1.085442,-0.633389,-0.911912,-0.534544,-0.126379,-0.771641,-1.205062,-0.120522,-0.984543,-1.123753,-0.290862,-0.523331,-0.156679,-0.852965,2.143301,0.360478,1.640610,-0.329610,-0.899571,-1.336813,0.052841,-0.627004,-0.945717,0.996261,-0.688207,-0.741134
2.600000,-0.280341,-0.014182,0.448571,-1.783846,-0.405590,-1.498916,-0.596836,-1.150386,-0.623527,-1.017308,-0.471185,0.139641,-0.633882,-0.811772,-0.121331,-1.024957,-1.221805,-0.318019,-0.441600,-0.394310,-0.840356,2.268638,0.697457,1.594367,-0.349458,-1.002796,-1.403713,-0.173683,-0.714429,-0.903027,0.862417,-0.416030,-0.329200
2.700000,-0.212141,0.061970,0.527922,-1.826697,-0.325028,-1.561421,-0.648876,-1.231459,-0.603324,-0.962190,-0.653057,0.295651,-0.251861,-0.460140,-0.121537,-1.088166,-1.309504,-0.305782,-0.510424,-0.555200,-0.685270,2.490685,0.944167,1.476169,-0.365390,-1.119363,-1.488555,-0.278089,-0.770279,-0.899395,1.081453,-0.198720,0.025657
2.800000,-0.126758,0.135345,0.604555,-1.847764,-0.199912,-1.623620,-0.702693,-1.332168,-0.595427,-0.855018,-0.888935,0.165704,0.213777,-0.191159,-0.104092,-1.169132,-1.362552,-0.275508,-0.657184,-0.560366,-0.449353,2.733857,1.090025,1.346032,-0.384313,-1.209196,-1.594946,-0.339684,-0.710927,-0.955897,1.462491,-0.134472,0.331006
2.900000,-0.037936,0.202827,0.684226,-1.825155,-0.037174,-1.683465,-0.770846,-1.433095,-0.611432,-0.806025,-0.950324,-0.154077,0.586559,-0.022858,-0.073375,-1.258632,-1.390357,-0.240881,-0.790395,-0.411422,-0.182564,2.942097,1.159569,1.249122,-0.414587,-1.260393,-1.707897,-0.446060,-0.524873,-1.007041,1.801964,-0.176174,0.520720
3.000000,0.038336,0.262272,0.776384,-1.758509,0.150854,-1.739414,-0.852220,-1.514720,-0.655577,-0.802945,-0.784091,-0.519512,0.830536,0.022099,-0.042381,-1.349917,-1.394964,-0.198553,-0.839339,-0.146792,0.090757,3.118935,1.132768,1.231698,-0.462954,-1.277285,-1.812721,-0.633962,-0.256832,-0.969594,2.045729,-0.224186,0.562306
3.100000,0.084372,0.310618,0.886818,-1.660502,0.350293,-1.791355,-0.938244,-1.565473,-0.729601,-0.783818,-0.459222,-0.867995,0.984603,-0.038845,-0.026743,-1.437351,-1.380346,-0.138819,-0.800221,0.152097,0.375938,-3.039062,1.018446,1.231150,-0.532947,-1.264980,-1.895297,-0.866381,0.044078,-0.819037,2.218763,-0.209408,0.499942
3.200000,0.085079,0.346691,1.011461,-1.542058,0.548413,-1.839865,-1.016158,-1.581240,-0.831145,-0.678062,-0.074338,-1.171979,1.054345,-0.174732,-0.030687,-1.516444,-1.352864,-0.056088,-0.712675,0.406172,0.674255,-2.999075,0.840158,1.201272,-0.615736,-1.223933,-1.944459,-1.066840,0.353272,-0.582755,2.303245,-0.118293,0.388088
3.300000,0.032925,0.375785,1.138610,-1.410474,0.735207,-1.887029,-1.066000,-1.573350,-0.957120,-0.448643,0.243795,-1.425221,1.037120,-0.371436,-0.041912,-1.589020,-1.320856,0.047748,-0.651629,0.562820,0.955380,-3.054309,0.609030,1.131282,-0.695492,-1.146467,-1.963958,-1.171289,0.660515,-0.335526,2.275374,0.035550,0.241567
3.400000,-0.068485,0.409573,1.255713,-1.276171,0.902456,-1.935059,-1.076762,-1.557274,-1.097551,-0.103928,0.400252,-1.594093,0.948567,-0.590421,-0.045406,-1.660267,-1.284563,0.159677,-0.688500,0.623604,1.145384,3.099910,0.360024,1.028945,-0.758523,-1.022435,-1.973495,-1.147542,0.939982,-0.172469,2.137446,0.202798,0.062650
