t,truth_x,truth_y,truth_z,truth_roll,truth_pitch,truth_yaw,ekf_x,ekf_y,ekf_z,ekf_vx,ekf_vy,ekf_vz,ekf_roll,ekf_pitch,ekf_yaw,esekf_x,esekf_y,esekf_z,esekf_vx,esekf_vy,esekf_vz,esekf_roll,esekf_pitch,esekf_yaw,inekf_x,inekf_y,inekf_z,inekf_vx,inekf_vy,inekf_vz,inekf_roll,inekf_pitch,inekf_yaw
1.400000,0.687147,1.114587,1.601495,1.508943,1.360745,-1.024904,0.241645,1.901520,0.511153,0.286899,0.732583,-1.449576,-0.560968,-0.306005,-0.797445,0.276361,1.882222,0.144109,0.215828,1.635437,-1.349096,-0.672460,-0.294227,-0.830004,-0.312660,1.674777,0.149130,-0.671958,1.270586,-1.442676,-1.014774,-0.164413,-0.311404
1.500000,0.896656,1.120845,1.681985,1.580030,1.425293,-1.150673,0.218587,1.862461,0.484423,-0.067110,-0.325259,-1.437683,-1.144163,-0.667743,-0.746558,0.490112,1.878647,0.213055,-0.412994,1.168075,-1.050760,-1.637889,0.351780,-1.123480,-0.396946,1.606038,0.368078,-0.632406,0.722464,-1.087961,-1.642583,-0.178441,0.154192
1.600000,1.117801,1.086270,1.748278,1.583769,1.442696,-1.274871,0.072909,1.766639,0.462040,-0.489176,-0.998349,-0.995963,-1.728124,-1.063974,-0.636699,0.688029,1.965074,0.944270,-0.512025,1.297719,-0.168535,-1.993606,0.519986,-1.488884,-0.178846,1.660096,0.748960,-0.287837,0.566149,-0.456767,-2.127582,0.076341,0.486351
1.700000,1.328656,1.021134,1.802786,1.519622,1.412312,-1.396916,-0.094462,1.643096,0.407037,-0.663105,-1.197449,-0.631611,-2.239985,-1.465823,-0.517041,1.193952,2.076950,1.167947,0.077314,1.092512,-0.144211,-2.578184,0.223406,-2.101681,0.143012,1.721867,0.971905,0.001927,0.559133,-0.236173,-2.488142,0.442206,0.703043
1.800000,1.509195,0.938489,1.851122,1.395205,1.336708,-1.515152,-0.236044,1.520369,0.357859,-0.539907,-1.193504,-0.458555,-2.555972,-1.730281,-0.422409,1.483280,2.240303,1.527367,0.401118,1.010178,-0.116764,-2.645208,0.129768,-2.310370,0.429259,1.771945,1.077599,0.025292,0.450920,-0.336340,-2.675928,0.731070,0.815207
1.900000,1.646803,0.848885,1.899641,1.227095,1.225956,-1.628336,-0.293903,1.393432,0.316606,-0.138607,-1.215536,-0.282139,-2.626617,-1.825255,-0.381718,1.551574,2.329774,1.456496,0.374457,0.758780,-0.689671,-2.774594,-0.042228,-2.479425,0.621724,1.772685,1.098779,-0.178023,0.127727,-0.541062,-2.694766,0.856781,0.841923
2.000000,1.736208,0.756218,1.955317,1.038456,1.096678,-1.737773,-0.270519,1.271035,0.293629,0.494494,-1.161500,-0.147139,-2.441264,-1.736955,-0.368738,1.502805,2.446214,1.481232,0.470520,0.727453,-1.064760,-2.517634,0.126083,-2.415285,0.681529,1.710298,1.048450,-0.547883,-0.283760,-0.764955,-2.568581,0.810584,0.754999
2.100000,1.778130,0.658823,2.030050,0.855579,0.967836,-1.845365,-0.192820,1.193799,0.262125,1.181183,-0.727438,-0.320720,-2.052909,-1.473804,-0.363096,1.491655,2.514550,1.391829,0.763105,0.607852,-1.448883,-2.067162,0.375663,-2.343470,0.629647,1.643874,0.944670,-1.014621,-0.445671,-1.030003,-2.318524,0.629765,0.518313
2.200000,1.781125,0.556452,2.137307,0.704283,0.857933,-1.951680,-0.080308,1.196375,0.199673,1.383949,0.191488,-0.660667,-1.547402,-1.126397,-0.385517,1.952309,2.556180,1.436333,1.468035,0.179997,-1.340300,-1.816623,0.850750,-2.687932,0.589551,1.681484,0.849319,-1.320407,-0.042867,-1.265618,-1.943476,0.421313,0.132455
2.300000,1.756528,0.452333,2.285075,0.603246,0.780513,-2.056408,0.075840,1.250319,0.177737,1.053006,1.126987,-0.440974,-0.987554,-0.821216,-0.484600,2.413154,2.466148,1.372792,1.487067,-0.576029,-1.400210,-2.035568,0.892620,2.804911,0.708597,1.837947,0.827549,-1.162285,0.739695,-1.260380,-1.474686,0.333855,-0.363998
